question,answer,relation,subject,object,q_index,prompt_id,q_id,target_lang,klar_id
スペインの首都としてどの都市がありますか？,マドリード,capital,スペイン,マドリード,6318,2,6318_2,ja,ja_6318_2
フランス・メトロポリテーヌの首都はどこにありますか？,パリ,capital,フランス・メトロポリテーヌ,パリ,6319,4,6319_4,ja,ja_6319_4
タタールスタン共和国の首都としてどの都市がありますか？,カザン,capital,タタールスタン共和国,カザン,6320,2,6320_2,ja,ja_6320_2
ブレスト州の首都としてどの都市がありますか？,ブレスト,capital,ブレスト州,ブレスト,6321,2,6321_2,ja,ja_6321_2
イギリス委任統治領パレスチナの首都は何ですか？,エルサレム,capital,イギリス委任統治領パレスチナ,エルサレム,6322,1,6322_1,ja,ja_6322_1
パレルモ県の首都の都市を名前をつけてください。答えは：,パレルモ,capital,パレルモ県,パレルモ,6323,3,6323_3,ja,ja_6323_3
バイエルン王国の首都はどこにありますか？,ミュンヘン,capital,バイエルン王国,ミュンヘン,6324,0,6324_0,ja,ja_6324_0
タミル・ナードゥ州の首都はどこにありますか？,チェンナイ,capital,タミル・ナードゥ州,チェンナイ,6325,0,6325_0,ja,ja_6325_0
ベラルーシの首都はどこにありますか？,ミンスク,capital,ベラルーシ,ミンスク,6326,4,6326_4,ja,ja_6326_4
グロスタシャーの首都はどこにありますか？,グロスター,capital,グロスタシャー,グロスター,6327,4,6327_4,ja,ja_6327_4
ヴォー州の首都としてどの都市がありますか？,ローザンヌ,capital,ヴォー州,ローザンヌ,6328,2,6328_2,ja,ja_6328_2
欧州連合の首都はどこにありますか？,ストラスブール,capital,欧州連合,ストラスブール,6329,4,6329_4,ja,ja_6329_4
ウッタル・プラデーシュ州の首都としてどの都市がありますか？,ラクナウ,capital,ウッタル・プラデーシュ州,ラクナウ,6330,2,6330_2,ja,ja_6330_2
スルプスカ共和国の首都としてどの都市がありますか？,サラエヴォ,capital,スルプスカ共和国,サラエヴォ,6331,2,6331_2,ja,ja_6331_2
サラエヴォ県の首都はどこにありますか？,サラエヴォ,capital,サラエヴォ県,サラエヴォ,6332,0,6332_0,ja,ja_6332_0
ハンガリー評議会共和国の首都はどこにありますか？,ブダペスト,capital,ハンガリー評議会共和国,ブダペスト,6333,4,6333_4,ja,ja_6333_4
アフガニスタン王国の首都としてどの都市がありますか？,カーブル,capital,アフガニスタン王国,カーブル,6334,2,6334_2,ja,ja_6334_2
ルブリン県の首都はどこにありますか？,ルブリン,capital,ルブリン県,ルブリン,6335,0,6335_0,ja,ja_6335_0
バージニア州の首都の都市を名前をつけてください。答えは：,リッチモンド,capital,バージニア州,リッチモンド,6336,3,6336_3,ja,ja_6336_3
イングランド王国の首都の都市を名前をつけてください。答えは：,ウィンチェスター,capital,イングランド王国,ウィンチェスター,6337,3,6337_3,ja,ja_6337_3
マディーナ州の首都の都市を名前をつけてください。答えは：,マディーナ,capital,マディーナ州,マディーナ,6338,3,6338_3,ja,ja_6338_3
ストックホルム自治体の首都はどこにありますか？,ストックホルム,capital,ストックホルム自治体,ストックホルム,6339,0,6339_0,ja,ja_6339_0
アゼルバイジャン・ソビエト社会主義共和国の首都としてどの都市がありますか？,バクー,capital,アゼルバイジャン・ソビエト社会主義共和国,バクー,6340,2,6340_2,ja,ja_6340_2
ギリシャ王国の首都はどこにありますか？,アテネ,capital,ギリシャ王国,アテネ,6341,4,6341_4,ja,ja_6341_4
大韓民国の首都の都市を名前をつけてください。答えは：,ソウル特別市,capital,大韓民国,ソウル特別市,6342,3,6342_3,ja,ja_6342_3
マルタ騎士団の首都としてどの都市がありますか？,ローマ,capital,マルタ騎士団,ローマ,6343,2,6343_2,ja,ja_6343_2
カンブリアの首都の都市を名前をつけてください。答えは：,カーライル,capital,カンブリア,カーライル,6344,3,6344_3,ja,ja_6344_3
ニーダーザクセン州の首都の都市を名前をつけてください。答えは：,ハノーファー,capital,ニーダーザクセン州,ハノーファー,6345,3,6345_3,ja,ja_6345_3
イングランド王国の首都としてどの都市がありますか？,ウェストミンスター,capital,イングランド王国,ウェストミンスター,6346,2,6346_2,ja,ja_6346_2
トリノ県の首都としてどの都市がありますか？,トリノ,capital,トリノ県,トリノ,6347,2,6347_2,ja,ja_6347_2
ノースカロライナ州の首都はどこにありますか？,ローリー,capital,ノースカロライナ州,ローリー,6348,0,6348_0,ja,ja_6348_0
ノーザンテリトリーの首都は何ですか？,ダーウィン,capital,ノーザンテリトリー,ダーウィン,6349,1,6349_1,ja,ja_6349_1
ハノーファー王国の首都はどこにありますか？,ハノーファー,capital,ハノーファー王国,ハノーファー,6350,0,6350_0,ja,ja_6350_0
ホルダラン県の首都の都市を名前をつけてください。答えは：,ベルゲン,capital,ホルダラン県,ベルゲン,6351,3,6351_3,ja,ja_6351_3
サウスダコタ州の首都としてどの都市がありますか？,ピア,capital,サウスダコタ州,ピア,6352,2,6352_2,ja,ja_6352_2
アルザス地域圏の首都としてどの都市がありますか？,ストラスブール,capital,アルザス地域圏,ストラスブール,6353,2,6353_2,ja,ja_6353_2
オンタリオ州の首都はどこにありますか？,トロント,capital,オンタリオ州,トロント,6354,0,6354_0,ja,ja_6354_0
マサチューセッツ州の首都はどこにありますか？,ボストン,capital,マサチューセッツ州,ボストン,6355,0,6355_0,ja,ja_6355_0
ブルガリア王国 (近代)の首都は何ですか？,ソフィア,capital,ブルガリア王国 (近代),ソフィア,6356,1,6356_1,ja,ja_6356_1
ナポリ県の首都の都市を名前をつけてください。答えは：,ナポリ,capital,ナポリ県,ナポリ,6357,3,6357_3,ja,ja_6357_3
ルーマニアの首都は何ですか？,ブカレスト,capital,ルーマニア,ブカレスト,6358,1,6358_1,ja,ja_6358_1
スイスの首都はどこにありますか？,ベルン,capital,スイス,ベルン,6359,0,6359_0,ja,ja_6359_0
オーストリアの首都は何ですか？,ウィーン,capital,オーストリア,ウィーン,6360,1,6360_1,ja,ja_6360_1
スロバキアの首都としてどの都市がありますか？,ブラチスラヴァ,capital,スロバキア,ブラチスラヴァ,6361,2,6361_2,ja,ja_6361_2
イングランドの首都はどこにありますか？,ロンドン,capital,イングランド,ロンドン,6362,4,6362_4,ja,ja_6362_4
エジプトの首都は何ですか？,カイロ,capital,エジプト,カイロ,6363,1,6363_1,ja,ja_6363_1
ウーシマー県の首都は何ですか？,ヘルシンキ,capital,ウーシマー県,ヘルシンキ,6364,1,6364_1,ja,ja_6364_1
ランカシャーの首都はどこにありますか？,プレストン,capital,ランカシャー,プレストン,6365,0,6365_0,ja,ja_6365_0
広島県の首都は何ですか？,広島市,capital,広島県,広島市,6366,1,6366_1,ja,ja_6366_1
神聖ローマ帝国の首都としてどの都市がありますか？,ウィーン,capital,神聖ローマ帝国,ウィーン,6367,2,6367_2,ja,ja_6367_2
グレートブリテン及びアイルランド連合王国の首都としてどの都市がありますか？,ロンドン,capital,グレートブリテン及びアイルランド連合王国,ロンドン,6368,2,6368_2,ja,ja_6368_2
ナチス・ドイツの首都はどこにありますか？,ベルリン,capital,ナチス・ドイツ,ベルリン,6369,0,6369_0,ja,ja_6369_0
シラクーザ県の首都の都市を名前をつけてください。答えは：,シラクサ,capital,シラクーザ県,シラクサ,6370,3,6370_3,ja,ja_6370_3
ロシア・ソビエト連邦社会主義共和国の首都の都市を名前をつけてください。答えは：,モスクワ,capital,ロシア・ソビエト連邦社会主義共和国,モスクワ,6371,3,6371_3,ja,ja_6371_3
ワイオミング州の首都はどこにありますか？,シャイアン,capital,ワイオミング州,シャイアン,6372,0,6372_0,ja,ja_6372_0
ウクライナ・ソビエト社会主義共和国の首都はどこにありますか？,キエフ,capital,ウクライナ・ソビエト社会主義共和国,キエフ,6373,0,6373_0,ja,ja_6373_0
東ローマ帝国の首都の都市を名前をつけてください。答えは：,コンスタンティノープル,capital,東ローマ帝国,コンスタンティノープル,6374,3,6374_3,ja,ja_6374_3
ウマイヤ朝の首都としてどの都市がありますか？,ダマスカス,capital,ウマイヤ朝,ダマスカス,6375,2,6375_2,ja,ja_6375_2
タイ王国の首都の都市を名前をつけてください。答えは：,バンコク,capital,タイ王国,バンコク,6376,3,6376_3,ja,ja_6376_3
アーンドラ・プラデーシュ州の首都の都市を名前をつけてください。答えは：,ハイデラバード,capital,アーンドラ・プラデーシュ州,ハイデラバード,6377,3,6377_3,ja,ja_6377_3
ノルウェーの首都はどこにありますか？,オスロ,capital,ノルウェー,オスロ,6378,0,6378_0,ja,ja_6378_0
ラインラント＝プファルツ州の首都はどこにありますか？,マインツ,capital,ラインラント＝プファルツ州,マインツ,6379,4,6379_4,ja,ja_6379_4
トルコの首都はどこにありますか？,アンカラ,capital,トルコ,アンカラ,6380,4,6380_4,ja,ja_6380_4
ダマスカス郊外県の首都としてどの都市がありますか？,ダマスカス,capital,ダマスカス郊外県,ダマスカス,6381,2,6381_2,ja,ja_6381_2
シュヴァーベン県の首都の都市を名前をつけてください。答えは：,アウクスブルク,capital,シュヴァーベン県,アウクスブルク,6382,3,6382_3,ja,ja_6382_3
連合国軍占領下の日本の首都の都市を名前をつけてください。答えは：,東京都,capital,連合国軍占領下の日本,東京都,6383,3,6383_3,ja,ja_6383_3
ロードアイランド州の首都は何ですか？,プロビデンス,capital,ロードアイランド州,プロビデンス,6384,1,6384_1,ja,ja_6384_1
アイダホ州の首都はどこにありますか？,ボイシ,capital,アイダホ州,ボイシ,6385,0,6385_0,ja,ja_6385_0
クロアチアの首都としてどの都市がありますか？,ザグレブ,capital,クロアチア,ザグレブ,6386,2,6386_2,ja,ja_6386_2
コーク州の首都の都市を名前をつけてください。答えは：,コーク,capital,コーク州,コーク,6387,3,6387_3,ja,ja_6387_3
ヴェネツィア県の首都はどこにありますか？,ヴェネツィア,capital,ヴェネツィア県,ヴェネツィア,6388,4,6388_4,ja,ja_6388_4
ウェセックスの首都はどこにありますか？,ウィンチェスター,capital,ウェセックス,ウィンチェスター,6389,0,6389_0,ja,ja_6389_0
ローマ帝国の首都の都市を名前をつけてください。答えは：,ローマ,capital,ローマ帝国,ローマ,6390,3,6390_3,ja,ja_6390_3
アルジェリアの首都は何ですか？,アルジェ,capital,アルジェリア,アルジェ,6391,1,6391_1,ja,ja_6391_1
ブリティッシュコロンビア州の首都はどこにありますか？,ビクトリア,capital,ブリティッシュコロンビア州,ビクトリア,6392,0,6392_0,ja,ja_6392_0
西ベンガル州の首都はどこにありますか？,コルカタ,capital,西ベンガル州,コルカタ,6393,4,6393_4,ja,ja_6393_4
ボヘミア王国 (神聖ローマ帝国)の首都の都市を名前をつけてください。答えは：,プラハ,capital,ボヘミア王国 (神聖ローマ帝国),プラハ,6394,3,6394_3,ja,ja_6394_3
モスクワ州の首都はどこにありますか？,モスクワ,capital,モスクワ州,モスクワ,6395,4,6395_4,ja,ja_6395_4
レバノンの首都は何ですか？,ベイルート,capital,レバノン,ベイルート,6396,1,6396_1,ja,ja_6396_1
ラトビアの首都はどこにありますか？,リガ,capital,ラトビア,リガ,6397,0,6397_0,ja,ja_6397_0
大日本帝国の首都はどこにありますか？,東京都,capital,大日本帝国,東京都,6398,4,6398_4,ja,ja_6398_4
ウェールズの首都としてどの都市がありますか？,カーディフ,capital,ウェールズ,カーディフ,6399,2,6399_2,ja,ja_6399_2
デリー・スルタン朝の首都は何ですか？,デリー,capital,デリー・スルタン朝,デリー,6400,1,6400_1,ja,ja_6400_1
アフガニスタン民主共和国の首都はどこにありますか？,カーブル,capital,アフガニスタン民主共和国,カーブル,6401,0,6401_0,ja,ja_6401_0
ポーランドの首都は何ですか？,ワルシャワ,capital,ポーランド,ワルシャワ,6402,1,6402_1,ja,ja_6402_1
ガージャール朝の首都は何ですか？,テヘラン,capital,ガージャール朝,テヘラン,6403,1,6403_1,ja,ja_6403_1
アッバース朝の首都の都市を名前をつけてください。答えは：,バグダード,capital,アッバース朝,バグダード,6404,3,6404_3,ja,ja_6404_3
シンド州の首都はどこにありますか？,カラチ,capital,シンド州,カラチ,6405,4,6405_4,ja,ja_6405_4
アーケシュフース県の首都は何ですか？,オスロ,capital,アーケシュフース県,オスロ,6406,1,6406_1,ja,ja_6406_1
南イエメンの首都はどこにありますか？,アデン,capital,南イエメン,アデン,6407,4,6407_4,ja,ja_6407_4
ヌーヴェル＝アキテーヌ地域圏の首都はどこにありますか？,ボルドー,capital,ヌーヴェル＝アキテーヌ地域圏,ボルドー,6408,0,6408_0,ja,ja_6408_0
ノース・ウェスト・イングランドの首都の都市を名前をつけてください。答えは：,マンチェスター,capital,ノース・ウェスト・イングランド,マンチェスター,6409,3,6409_3,ja,ja_6409_3
中華人民共和国の首都はどこにありますか？,北京市,capital,中華人民共和国,北京市,6410,4,6410_4,ja,ja_6410_4
エジプト古王国の首都はどこにありますか？,メンフィス,capital,エジプト古王国,メンフィス,6411,0,6411_0,ja,ja_6411_0
バミューダ諸島の首都は何ですか？,ハミルトン,capital,バミューダ諸島,ハミルトン,6412,1,6412_1,ja,ja_6412_1
オート＝ガロンヌ県の首都は何ですか？,トゥールーズ,capital,オート＝ガロンヌ県,トゥールーズ,6413,1,6413_1,ja,ja_6413_1
アラブ連合共和国の首都の都市を名前をつけてください。答えは：,カイロ,capital,アラブ連合共和国,カイロ,6414,3,6414_3,ja,ja_6414_3
ヘレフォードシャーの首都としてどの都市がありますか？,ヘレフォード,capital,ヘレフォードシャー,ヘレフォード,6415,2,6415_2,ja,ja_6415_2
ジロンド県の首都はどこにありますか？,ボルドー,capital,ジロンド県,ボルドー,6416,4,6416_4,ja,ja_6416_4
ミラノ県の首都としてどの都市がありますか？,ミラノ,capital,ミラノ県,ミラノ,6417,2,6417_2,ja,ja_6417_2
フィンランドの首都はどこにありますか？,ヘルシンキ,capital,フィンランド,ヘルシンキ,6418,4,6418_4,ja,ja_6418_4
シリアの首都としてどの都市がありますか？,ダマスカス,capital,シリア,ダマスカス,6419,2,6419_2,ja,ja_6419_2
バレンシア州の首都の都市を名前をつけてください。答えは：,バレンシア,capital,バレンシア州,バレンシア,6420,3,6420_3,ja,ja_6420_3
白ロシア・ソビエト社会主義共和国の首都としてどの都市がありますか？,ミンスク,capital,白ロシア・ソビエト社会主義共和国,ミンスク,6421,2,6421_2,ja,ja_6421_2
ジェノヴァ共和国の首都の都市を名前をつけてください。答えは：,ジェノヴァ,capital,ジェノヴァ共和国,ジェノヴァ,6422,3,6422_3,ja,ja_6422_3
ベルギーの首都の都市を名前をつけてください。答えは：,ブリュッセル＝ヴィル,capital,ベルギー,ブリュッセル＝ヴィル,6423,3,6423_3,ja,ja_6423_3
ティラナ県の首都はどこにありますか？,ティラナ,capital,ティラナ県,ティラナ,6424,0,6424_0,ja,ja_6424_0
リグーリア州の首都としてどの都市がありますか？,ジェノヴァ,capital,リグーリア州,ジェノヴァ,6425,2,6425_2,ja,ja_6425_2
アキテーヌ地域圏の首都はどこにありますか？,ボルドー,capital,アキテーヌ地域圏,ボルドー,6426,0,6426_0,ja,ja_6426_0
オーストリア＝ハンガリー帝国の首都の都市を名前をつけてください。答えは：,ウィーン,capital,オーストリア＝ハンガリー帝国,ウィーン,6427,3,6427_3,ja,ja_6427_3
ローマ県の首都は何ですか？,ローマ,capital,ローマ県,ローマ,6428,1,6428_1,ja,ja_6428_1
ストックホルム県の首都はどこにありますか？,ストックホルム,capital,ストックホルム県,ストックホルム,6429,4,6429_4,ja,ja_6429_4
エジプト王国の首都は何ですか？,カイロ,capital,エジプト王国,カイロ,6430,1,6430_1,ja,ja_6430_1
テネシー州の首都の都市を名前をつけてください。答えは：,ナッシュビル,capital,テネシー州,ナッシュビル,6431,3,6431_3,ja,ja_6431_3
佐賀県の首都はどこにありますか？,佐賀市,capital,佐賀県,佐賀市,6432,0,6432_0,ja,ja_6432_0
スウェーデンの首都は何ですか？,ストックホルム,capital,スウェーデン,ストックホルム,6433,1,6433_1,ja,ja_6433_1
フランス領アルジェリアの首都としてどの都市がありますか？,アルジェ,capital,フランス領アルジェリア,アルジェ,6434,2,6434_2,ja,ja_6434_2
オハイオ州の首都はどこにありますか？,コロンバス,capital,オハイオ州,コロンバス,6435,0,6435_0,ja,ja_6435_0
サウスカロライナ州の首都はどこにありますか？,コロンビア,capital,サウスカロライナ州,コロンビア,6436,0,6436_0,ja,ja_6436_0
ジャマイカの首都は何ですか？,キングストン,capital,ジャマイカ,キングストン,6437,1,6437_1,ja,ja_6437_1
キエフ大公国の首都はどこにありますか？,キエフ,capital,キエフ大公国,キエフ,6438,0,6438_0,ja,ja_6438_0
オート＝アルプ県の首都は何ですか？,ギャップ,capital,オート＝アルプ県,ギャップ,6439,1,6439_1,ja,ja_6439_1
イングランド王国の首都としてどの都市がありますか？,ロンドン,capital,イングランド王国,ロンドン,6440,2,6440_2,ja,ja_6440_2
カタルーニャ州の首都の都市を名前をつけてください。答えは：,バルセロナ,capital,カタルーニャ州,バルセロナ,6441,3,6441_3,ja,ja_6441_3
パリ・コミューンの首都の都市を名前をつけてください。答えは：,パリ,capital,パリ・コミューン,パリ,6442,3,6442_3,ja,ja_6442_3
ピエモンテ州の首都は何ですか？,トリノ,capital,ピエモンテ州,トリノ,6443,1,6443_1,ja,ja_6443_1
チェコの首都はどこにありますか？,プラハ,capital,チェコ,プラハ,6444,4,6444_4,ja,ja_6444_4
ノバスコシア州の首都の都市を名前をつけてください。答えは：,ハリファックス,capital,ノバスコシア州,ハリファックス,6445,3,6445_3,ja,ja_6445_3
オックスフォードシャーの首都としてどの都市がありますか？,オックスフォード,capital,オックスフォードシャー,オックスフォード,6446,2,6446_2,ja,ja_6446_2
欧州連合の首都は何ですか？,ブリュッセル＝ヴィル,capital,欧州連合,ブリュッセル＝ヴィル,6447,1,6447_1,ja,ja_6447_1
ユーゴスラビア社会主義連邦共和国の首都は何ですか？,ベオグラード,capital,ユーゴスラビア社会主義連邦共和国,ベオグラード,6448,1,6448_1,ja,ja_6448_1
イギリス領インド帝国の首都は何ですか？,コルカタ,capital,イギリス領インド帝国,コルカタ,6449,1,6449_1,ja,ja_6449_1
清の首都の都市を名前をつけてください。答えは：,北京市,capital,清,北京市,6450,3,6450_3,ja,ja_6450_3
リトアニア大公国の首都は何ですか？,ヴィリニュス,capital,リトアニア大公国,ヴィリニュス,6451,1,6451_1,ja,ja_6451_1
サルデーニャ王国の首都としてどの都市がありますか？,トリノ,capital,サルデーニャ王国,トリノ,6452,2,6452_2,ja,ja_6452_2
メリーランド州の首都の都市を名前をつけてください。答えは：,アナポリス,capital,メリーランド州,アナポリス,6453,3,6453_3,ja,ja_6453_3
ヴァイマル共和政の首都はどこにありますか？,ベルリン,capital,ヴァイマル共和政,ベルリン,6454,0,6454_0,ja,ja_6454_0
アメリカ連合国の首都はどこにありますか？,リッチモンド,capital,アメリカ連合国,リッチモンド,6455,4,6455_4,ja,ja_6455_4
ネウストリアの首都の都市を名前をつけてください。答えは：,パリ,capital,ネウストリア,パリ,6456,3,6456_3,ja,ja_6456_3
バイエルン自由州の首都はどこにありますか？,ミュンヘン,capital,バイエルン自由州,ミュンヘン,6457,0,6457_0,ja,ja_6457_0
ハワイ州の首都は何ですか？,ホノルル,capital,ハワイ州,ホノルル,6458,1,6458_1,ja,ja_6458_1
連合軍軍政期の首都の都市を名前をつけてください。答えは：,ベルリン,capital,連合軍軍政期,ベルリン,6459,3,6459_3,ja,ja_6459_3
クイーンズランド州の首都はどこにありますか？,ブリスベン,capital,クイーンズランド州,ブリスベン,6460,4,6460_4,ja,ja_6460_4
ボヘミアの首都はどこにありますか？,プラハ,capital,ボヘミア,プラハ,6461,0,6461_0,ja,ja_6461_0
アフガニスタン・イスラム首長国の首都としてどの都市がありますか？,カーブル,capital,アフガニスタン・イスラム首長国,カーブル,6462,2,6462_2,ja,ja_6462_2
ホムス県の首都としてどの都市がありますか？,ダマスカス,capital,ホムス県,ダマスカス,6463,2,6463_2,ja,ja_6463_2
ウェストバージニア州の首都は何ですか？,チャールストン,capital,ウェストバージニア州,チャールストン,6464,1,6464_1,ja,ja_6464_1
ケニアの首都の都市を名前をつけてください。答えは：,ナイロビ,capital,ケニア,ナイロビ,6465,3,6465_3,ja,ja_6465_3
西ドイツの首都はどこにありますか？,ボン,capital,西ドイツ,ボン,6466,0,6466_0,ja,ja_6466_0
スロベニアの首都はどこにありますか？,リュブリャナ,capital,スロベニア,リュブリャナ,6467,0,6467_0,ja,ja_6467_0
オタゴ地方の首都はどこにありますか？,ダニーデン,capital,オタゴ地方,ダニーデン,6468,0,6468_0,ja,ja_6468_0
江蘇省の首都としてどの都市がありますか？,南京市,capital,江蘇省,南京市,6469,2,6469_2,ja,ja_6469_2
ニュージャージー州の首都はどこにありますか？,トレントン,capital,ニュージャージー州,トレントン,6470,4,6470_4,ja,ja_6470_4
オレゴン州の首都は何ですか？,セイラム,capital,オレゴン州,セイラム,6471,1,6471_1,ja,ja_6471_1
イタリア王国の首都はどこにありますか？,ローマ,capital,イタリア王国,ローマ,6472,0,6472_0,ja,ja_6472_0
シュレースヴィヒ＝ホルシュタイン州の首都はどこにありますか？,キール,capital,シュレースヴィヒ＝ホルシュタイン州,キール,6473,0,6473_0,ja,ja_6473_0
リトアニアの首都はどこにありますか？,ヴィリニュス,capital,リトアニア,ヴィリニュス,6474,0,6474_0,ja,ja_6474_0
ミシシッピ州の首都の都市を名前をつけてください。答えは：,ジャクソン,capital,ミシシッピ州,ジャクソン,6475,3,6475_3,ja,ja_6475_3
オーストリア＝ハンガリー帝国の首都はどこにありますか？,ブダペスト,capital,オーストリア＝ハンガリー帝国,ブダペスト,6476,0,6476_0,ja,ja_6476_0
ミンスク州の首都はどこにありますか？,ミンスク,capital,ミンスク州,ミンスク,6477,4,6477_4,ja,ja_6477_4
広東省の首都は何ですか？,広州市,capital,広東省,広州市,6478,1,6478_1,ja,ja_6478_1
共和政ローマの首都はどこにありますか？,ローマ,capital,共和政ローマ,ローマ,6479,0,6479_0,ja,ja_6479_0
プロイセン王国の首都の都市を名前をつけてください。答えは：,ベルリン,capital,プロイセン王国,ベルリン,6480,3,6480_3,ja,ja_6480_3
アフガニスタンの首都はどこにありますか？,カーブル,capital,アフガニスタン,カーブル,6481,4,6481_4,ja,ja_6481_4
チリの首都は何ですか？,サンティアゴ,capital,チリ,サンティアゴ,6482,1,6482_1,ja,ja_6482_1
ユーゴスラビアの首都は何ですか？,ベオグラード,capital,ユーゴスラビア,ベオグラード,6483,1,6483_1,ja,ja_6483_1
マヨルカ島の首都は何ですか？,パルマ・デ・マリョルカ,capital,マヨルカ島,パルマ・デ・マリョルカ,6484,1,6484_1,ja,ja_6484_1
ノーフォークの首都の都市を名前をつけてください。答えは：,ノリッジ,capital,ノーフォーク,ノリッジ,6485,3,6485_3,ja,ja_6485_3
マゾフシェ県の首都はどこにありますか？,ワルシャワ,capital,マゾフシェ県,ワルシャワ,6486,0,6486_0,ja,ja_6486_0
フランドルの首都の都市を名前をつけてください。答えは：,ブリュッセル＝ヴィル,capital,フランドル,ブリュッセル＝ヴィル,6487,3,6487_3,ja,ja_6487_3
Nommez la capitale de Azerbaïdjan. La réponse est:,Bakou,capital,Azerbaïdjan,Bakou,6152,3,6152_3,fr,fr_6152_3
Où Nebraska a-t-il sa capitale?,Lincoln,capital,Nebraska,Lincoln,6153,4,6153_4,fr,fr_6153_4
Où se trouve la capitale du Hampshire?,Winchester,capital,Hampshire,Winchester,6154,0,6154_0,fr,fr_6154_0
Où se trouve la capitale du Alexandrie?,Alexandrie,capital,Alexandrie,Alexandrie,6155,0,6155_0,fr,fr_6155_0
Où se trouve la capitale du royaume d'Italie?,Florence,capital,royaume d'Italie,Florence,6156,0,6156_0,fr,fr_6156_0
Quelle est la capitale de Grand-duché de Finlande?,Helsinki,capital,Grand-duché de Finlande,Helsinki,6157,1,6157_1,fr,fr_6157_1
Nommez la capitale de Telangana. La réponse est:,Hyderabad,capital,Telangana,Hyderabad,6158,3,6158_3,fr,fr_6158_3
Quelle est la capitale de Australie-Méridionale?,Adélaïde,capital,Australie-Méridionale,Adélaïde,6159,1,6159_1,fr,fr_6159_1
Quelle est la capitale de royaume d'Écosse?,Édimbourg,capital,royaume d'Écosse,Édimbourg,6160,1,6160_1,fr,fr_6160_1
Nommez la capitale de Deuxième République. La réponse est:,Varsovie,capital,Deuxième République,Varsovie,6161,3,6161_3,fr,fr_6161_3
Quelle est la capitale de Canterbury?,Christchurch,capital,Canterbury,Christchurch,6162,1,6162_1,fr,fr_6162_1
Nommez la capitale de royaume de France. La réponse est:,Paris,capital,royaume de France,Paris,6163,3,6163_3,fr,fr_6163_3
Où Alberta a-t-il sa capitale?,Edmonton,capital,Alberta,Edmonton,6164,4,6164_4,fr,fr_6164_4
Quelle est la capitale de Allemagne?,Berlin,capital,Allemagne,Berlin,6165,1,6165_1,fr,fr_6165_1
Où se trouve la capitale du Indiana?,Indianapolis,capital,Indiana,Indianapolis,6166,0,6166_0,fr,fr_6166_0
Où Second Empire a-t-il sa capitale?,Paris,capital,Second Empire,Paris,6167,4,6167_4,fr,fr_6167_4
Quelle est la capitale de Cambridgeshire?,Cambridge,capital,Cambridgeshire,Cambridge,6168,1,6168_1,fr,fr_6168_1
Où royaume de Sicile a-t-il sa capitale?,Naples,capital,royaume de Sicile,Naples,6169,4,6169_4,fr,fr_6169_4
Où se trouve la capitale du Indre-et-Loire?,Tours,capital,Indre-et-Loire,Tours,6170,0,6170_0,fr,fr_6170_0
Où se trouve la capitale du Pouilles?,Bari,capital,Pouilles,Bari,6171,0,6171_0,fr,fr_6171_0
Nommez la capitale de Flandre-Orientale. La réponse est:,Gand,capital,Flandre-Orientale,Gand,6172,3,6172_3,fr,fr_6172_3
Quelle ville sert de capitale à Danemark?,Copenhague,capital,Danemark,Copenhague,6173,2,6173_2,fr,fr_6173_2
Quelle est la capitale de Michigan?,Lansing,capital,Michigan,Lansing,6174,1,6174_1,fr,fr_6174_1
Où se trouve la capitale du Ayyoubides?,Le Caire,capital,Ayyoubides,Le Caire,6175,0,6175_0,fr,fr_6175_0
Nommez la capitale de califat Rachidun. La réponse est:,Médine,capital,califat Rachidun,Médine,6176,3,6176_3,fr,fr_6176_3
Où se trouve la capitale du shogunat Tokugawa?,Edo,capital,shogunat Tokugawa,Edo,6177,0,6177_0,fr,fr_6177_0
Nommez la capitale de Union des républiques socialistes soviétiques. La réponse est:,Moscou,capital,Union des républiques socialistes soviétiques,Moscou,6178,3,6178_3,fr,fr_6178_3
Où royaume de Roumanie a-t-il sa capitale?,Bucarest,capital,royaume de Roumanie,Bucarest,6179,4,6179_4,fr,fr_6179_4
Quelle ville sert de capitale à Tasmanie?,Hobart,capital,Tasmanie,Hobart,6180,2,6180_2,fr,fr_6180_2
Quelle est la capitale de Comté de Limerick?,Limerick,capital,Comté de Limerick,Limerick,6181,1,6181_1,fr,fr_6181_1
Nommez la capitale de Califat fatimide. La réponse est:,Le Caire,capital,Califat fatimide,Le Caire,6182,3,6182_3,fr,fr_6182_3
Nommez la capitale de Auckland. La réponse est:,Auckland,capital,Auckland,Auckland,6183,3,6183_3,fr,fr_6183_3
Quelle ville sert de capitale à New Hampshire?,Concord,capital,New Hampshire,Concord,6184,2,6184_2,fr,fr_6184_2
Où Odessa a-t-il sa capitale?,Odessa,capital,Odessa,Odessa,6185,4,6185_4,fr,fr_6185_4
Quelle ville sert de capitale à Australie?,Canberra,capital,Australie,Canberra,6186,2,6186_2,fr,fr_6186_2
Quelle ville sert de capitale à Empire ottoman?,Istanbul,capital,Empire ottoman,Istanbul,6187,2,6187_2,fr,fr_6187_2
Où Angleterre du Sud-Ouest a-t-il sa capitale?,Bristol,capital,Angleterre du Sud-Ouest,Bristol,6188,4,6188_4,fr,fr_6188_4
Quelle ville sert de capitale à Texas?,Austin,capital,Texas,Austin,6189,2,6189_2,fr,fr_6189_2
