q_id,language,keywords
62,en,data protection regulation brazil requires subject access requests be fulfilled within specific time frame general law lgpd
62,fr,quelle réglementation brésilienne sur protection données exige que demandes d accès personnes concernées soient satisfaites délai précis loi générale lgpd
62,he,איזה חוק הגנת נתונים בברזיל מחייב לעמוד בבקשות גישה של אדם לנתונים שמתייחסים אליו בתוך מסגרת זמן ספציפית הנתונים הכללי lgpd
62,zh,巴西 哪项 数据保护 法规 要求 在 特定 时间 范围 内 完成 主体 访问 请求 通用 法 lgpd
62,de,welche datenschutzverordnung brasilien verlangt dass auskunftsersuchen betroffenen person innerhalb eines bestimmten zeitrahmens erfüllt werden allgemeines datenschutzgesetz lgpd
62,es,normativa protección datos brasil exige solicitudes acceso interesados se cumplan plazo tiempo específico ley general lgpd
62,hi,ब्राज़ील डेटा सुरक्षा से जुड़े किस कानून के तहत जुड़ी जानकारी अनुरोधों को एक तय समय पूरा करना ज़रूरी है जनरल प्रोटेक्शन लॉ lgpd
62,id,peraturan perlindungan data brasil mewajibkan permintaan akses subjek dipenuhi dalam jangka waktu tertentu undang umum lgpd
62,it,normativa brasiliana sulla protezione dei dati impone richieste accesso dell interessato vengano soddisfatte entro periodo tempo specifico legge generale lgpd
62,ja,ブラジル の どの データ 保護 規制 が 主体 アクセス 要求 を 特定 期間内 に 満たす こと 義務 付け て い ます か 一般 法 lgpd
62,ko,브라질의 어떤 데이터 보호 규정에서 주체 접근 요청을 특정 기한 내에 충족하도록 요구합니까? 일반 보호법(lgpd) lgpd
62,pt,regulamentação proteção dados no brasil exige solicitações acesso titular sejam resolvidas dentro prazo específico lei geral lgpd
64,en,decade did harry f sinclair purchase rancocas stable 1910s
64,fr,cours quelle décennie harry f sinclair a t il acheté écurie rancocas années 1910
64,he,באיזה עשור רכש הארי סינקלייר את אורוות רנקוקאס שנות 1910
64,zh,哈里 辛克莱 是 在 哪个 年代 收购 兰可 卡斯 马场 的 f harry sinclair rancocas stable 1910
64,de,jahrzehnt kaufte harry f sinclair den rancocas stall 1910er jahre
64,es,década compró harry f sinclair establo rancocas 1910s
64,hi,हैरी एफ़ सिनक्लेयर ने रैंकोकस स्टेबल अस्तबल किस दशक खरीदा का 1910
64,id,pada dekade berapa harry f sinclair membeli rancocas stable tahun 1910 an
64,it,decennio harry f sinclair acquistò rancocas stable anni 1910
64,ja,ハリー ・ シンクレア は 何 年 代 に ランコカスステーブル を 購入 し まし た か f 1910
64,ko,해리 싱클레어가 랭코카스 마구간을 구매한 것은 몇 년대였습니까? 1910년대 f 1910
64,pt,década harry f sinclair comprou estábulo rancocas 1910
40,en,who contributed album keys kingdom by north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,fr,qui a contribué à album keys to the kingdom north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,he,מי תרם לאלבום של מייביס סטייפלס אלווין יאנגבלוד הארט ספונר אולדהם גורדי ונסון ריי קודר ים ספייק וג אשפורד keys to the kingdom north mississippi allstars
40,zh,谁 参与 制作 了 北 密西西比 全明星 乐队 的 专辑 通往 王国 之匙 和 keys to the kingdom mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,de,wer wirkte an dem album keys to the kingdom von north mississippi allstars mit mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,es,quiénes colaboraron álbum keys to the kingdom north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,hi,नॉर्थ मिसिसिपी ऑलस्टार्स के एल्बम कीज़ टू किंगडम लिए किन लोगों ने सहयोग किया मेविस स्टेपल्स एल्विन यंगब्लड हार्ट स्पूनर ओल्डहैम गॉर्डी जॉनसन राई कूडर जिम स्पेक जैक एशफ़ोर्ड
40,id,siapa berkontribusi dalam album keys to the kingdom oleh north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,it,chi ha contribuito all album keys to the kingdom dei north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
40,ja,ノース ・ ミシシッピ オール スターズ の アルバム キーズ トゥ ザ キングダム に 誰 が 参加 し まし た か メイヴィス ステイプルズ アルヴィン ヤング ブラッド ハート スプーナー オールダム ゴーディ ジョンソン ライ クーダー ジム スペイク ジャック アシュフォード
40,ko,"노스 미시시피 올스타의 앨범 ""키즈 투더 킹덤""에 기여한 사람은 누구인가요? 메이비스 스테이플즈, 앨빈 영블러드 하트, 스푸너 올드햄, 고디 존슨, 라이 쿠더, 짐 스페이크, 잭 애시포드"
40,pt,quem contribuiu para álbum keys to the kingdom north mississippi allstars mavis staples alvin youngblood hart spooner oldham gordie johnson ry cooder jim spake jack ashford
43,en,what term used south africa describe someone who obtains government contracts facilitate outsourced services tenderpreneur
43,fr,terme est utilisé afrique sud pour décrire personne qui obtient contrats gouvernementaux faciliter services externalisés tenderpreneur
43,he,באיזה מונח משתמשים בדרום אפריקה כדי לתאר מישהו שמשיג חוזים ממשלתיים על מנת לקדם שירותים במיקור חוץ טנדרפרנור
43,zh,在 南非 用 什么 术语 来 形容 那些 获得 政府 合同 以 促进 外 包 服务 的 人 招标 企业家
43,de,welcher begriff wird südafrika verwendet um jemanden bezeichnen regierungsaufträge erhält ausgelagerte dienstleistungen ermöglichen tenderpreneur
43,es,término se utiliza sudáfrica para describir a alguien obtiene contratos gobierno facilitar servicios subcontratados tenderpreneur
43,hi,दक्षिण अफ़्रीका आउटसोर्स सेवाएं मुहैया कराने के लिए सरकार से समझौता करने वाले व्यक्ति को क्या कहा जाता है टेंडरप्रेन्योर
43,id,istilah apa digunakan afrika selatan untuk mendeskripsikan seseorang memperoleh kontrak pemerintah memfasilitasi layanan outsourcing tenderpreneur
43,it,termine viene utilizzato sudafrica per descrivere qualcuno ottiene contratti governativi facilitare servizi esternalizzati tenderpreneur
43,ja,南アフリカ で 外注 サービス を 円滑 に 進める ため 政府 の 契約 取得 する 人 指す 用語 は 何 です か テンダープレナー
43,ko,아웃소싱된 서비스를 용이하게 하기 위해 정부 계약을 획득하는 사람을 나타내는 남아프리카 공화국 용어는 무엇입니까? 텐더프레너
43,pt,termo é usado na áfrica sul para descrever alguém obtém contratos governamentais facilitar serviços terceirizados tenderpreneur
53,en,what type health care group st john god catholic not for profit
53,fr,type groupe soins santé est st john of god health care catholique à but non lucratif
53,he,איזה סוג של קבוצת בריאות היא קתולית ללא מטרות רווח st john of god health care
53,zh,圣约翰 上帝 医疗保健 公司 是 什么 类型 的 集团 天主教 非营利性 st john of god health care
53,de,welche art von gesundheitsorganisation ist st john of god health care katholisch gemeinnützig
53,es,tipo grupo atención médica es st john of god health care católico sin fines lucro
53,hi,सेंट जॉन ऑफ़ गॉड हेल्थ केयर स्वास्थ्य से जुड़ा किस तरह का ग्रुप है कैथोलिक गैर लाभकारी
53,id,jenis kelompok layanan kesehatan apakah st john of god health care katolik nirlaba
53,it,tipo gruppo sanitario è st john of god health care cattolico senza scopo lucro
53,ja,セント ・ ジョン オブ ゴッド ヘルスケア は どのような 種類 の 医療 グループ です か カトリック 系 非営利
53,ko,성 요한 건강 관리 기관은 어떤 유형의 의료 그룹입니까? 가톨릭 비영리
53,pt,tipo grupo assistência médica é st john of god health care católica sem fins lucrativos
49,en,what did archer capital purchase partnership with management australian geographic 1998
49,fr,qu est ce archer capital a acheté partenariat avec direction d australian geographic 1998
49,he,מה רכשה ארצ קפיטל בשותפות עם הנהלת אוסטרליאן אוגרפיק australian geographic 1998
49,zh,年 与 的 管理层 合作 购买 了 什么 1998 archer capital australian geographic
49,de,was hat archer capital 1998 partnerschaft mit dem management von australian geographic gekauft
49,es,compró archer capital asociación con dirección australian geographic 1998
49,hi,ऑस्ट्रेलियन जिओग्राफ़िक के मैनेजमेंट साथ हुई साझेदारी आर्चर कैपिटल ने क्या खरीदा ज्योग्राफिक 1998
49,id,apa dibeli archer capital dalam kemitraan dengan manajemen australian geographic pada tahun 1998
49,it,cosa ha acquistato archer capital collaborazione con management australian geographic nel 1998
49,ja,アーチャー ・ キャピタル は 年 に の 経営 陣 と 提携 し て 何 を 購入 まし た か 1998 australian geographic
49,ko,1998년에 아처 캐피탈은 오스트레일리안 지오그래픽 경영진과 파트너십을 맺고 무엇을 인수했습니까? 1998 australian geographic
49,pt,archer capital comprou parceria com administração australian geographic 1998
34,en,according some writers ancient city equated with parrhasia lycosura
34,fr,selon certains auteurs quelle cité antique est identifiée à parrhasia lycosure
34,he,על פי כמה סופרים איזו עיר עתיקה מזוהה עם פרהסיה ליקוסורה
34,zh,根据 某些 作家 的 说法 哪座 古代 城市 等同于 帕尔哈 西亚 利科 蘇拉 parrhasia
34,de,welche antike stadt wird laut einigen autoren mit parrhasia gleichgesetzt lykosura
34,es,según algunos escritores ciudad antigua se identifica con parrasia licosura
34,hi,कुछ लेखकों के अनुसार किस प्राचीन नगर की तुलना पैरेशिया से जाती है लाइकोसुरा
34,id,menurut beberapa penulis kota kuno manakah disamakan dengan parrhasia lycosura
34,it,secondo alcuni scrittori città antica viene identificata con parrasia licosura
34,ja,一部 の 著者 に よる と どの 古代 都市 が パラシア 同一 視 さ れ て い ます か リュコスーラ
34,ko,"일부 저술가들에 따르면, 어떤 고대 도시가 파라시아와 동일시됩니까? 리코수라"
34,pt,acordo com alguns escritores cidade antiga é identificada como parrásia licosura
52,en,what planck mass denoted by equation for vainshtein radius m_ p
52,fr,quelle est masse planck indiquée équation rayon vainshtein m_ p
52,he,מהי מסת פלאנק שמוזכרת במשוואה לרדיוס ויינשטיין m p
52,zh,在 半径 方程 中 普朗克 质量 用 什么 符号 表示 vainshtein m p
52,de,was bezeichnet gleichung für den vainshtein radius planck masse m_ p
52,es,con se denota masa planck ecuación radio vainshtein m_ p
52,hi,वैन्स्टाइन रैडियस के समीकरण प्लैंक मास लिए किस निशान का इस्तेमाल किया जाता है m p
52,id,apa dilambangkan dengan massa planck dalam persamaan jari vainshtein m_ p
52,it,come viene indicata massa planck nell equazione per raggio vainshtein m_ p
52,ja,ヴァイン シュタイン 半径 の 式 で プランク 質量 は どの よう に 表さ れ ます か m p
52,ko,바인슈타인 반지름 방정식에서 플랑크 질량을 나타내는 기호는 무엇입니까? m p
52,pt,como é denotada massa planck na equação raio vainshtein m_ p
54,en,what month did k 1 festa 3 event take place march
54,fr,mois a eu lieu événement k 1 festa 3 mars
54,he,באיזה חודש התקיים אירוע מרץ k 1 festa 3
54,zh,赛事 在 几月份 举行 三月 k festa 3
54,de,monat fand veranstaltung k 1 festa 3 statt märz
54,es,mes tuvo lugar evento k 1 festa 3 marzo
54,hi,इवेंट किस महीने हुआ मार्च k 1 festa 3
54,id,pada bulan apa acara k 1 festa 3 diadakan maret
54,it,mese si è svolto l evento k 1 festa 3 marzo
54,ja,の イベント は 何月 に 行わ れ まし た か 月 k festa 3
54,ko,이벤트는 몇 월에 열렸습니까? 3월 k festa 3
54,pt,mês ocorreu evento k 1 festa 3 março
50,en,what medal did nguyễn thị mỹ đức win women s changquan at 2002 asian games bronze
50,fr,quelle médaille nguyễn thị mỹ đức a t elle remportée changquan féminin jeux asiatiques 2002 bronze
50,he,באיזו מדליה לנשים זכתה נגויין תי מי דוק במשחקי אסיה שנערכו בצ אנגצ ואן בשנת מדליית ארד 2002
50,zh,阮氏 美德 在 年 亚运会 女子 长拳 项目 中 赢得 了 什么 奖牌 铜牌 nguy n th m c 2002
50,de,welche medaille gewann nguyễn thị mỹ đức changquan frauen bei den asienspielen 2002 bronzemedaille
50,es,medalla ganó nguyễn thị mỹ đức changquan femenino juegos asiáticos 2002 bronce
50,hi,नोयेन ती मे युंग ने के एशियाई खेलों महिला चांगचेन मार्शल आर्ट प्रतिस्पर्धा कौनसा पदक जीता कांस्य 2002
50,id,medali apa diraih nguyễn thị mỹ đức dalam nomor changquan putri asian games 2002 perunggu
50,it,medaglia ha vinto nguyễn thị mỹ đức nel changquan femminile ai giochi asiatici 2002 bronzo
50,ja,年 アジア 競技 大会 の 女子 長拳 で グエン ・ ティ ミー ドゥック が 獲得 し た メダル は 何 です か 銅 2002
50,ko,2002년 아시안 게임 여자 창권에서 응우옌 티 미 두크는 어떤 메달을 획득했나요? 동메달 2002
50,pt,medalha nguyễn thị mỹ đức ganhou changquan feminino nos jogos asiáticos 2002 bronze
58,en,what city did 1984 summer olympics men s 100 metre butterfly final take place los angeles
58,fr,quelle ville finale 100 mètres papillon masculin jeux olympiques d été 1984 a t elle eu lieu los angeles
58,he,באיזו עיר התקיים הגמר של מקצה פרפר מטר לגברים באולימפיאדת הקיץ לוס אנג לס 100 1984
58,zh,年 夏季 奥运会 男子 米 蝶泳 决赛 在 哪个 城市 举行 洛杉矶 1984 100
58,de,welcher stadt fand finale des 100 meter schmetterlingsschwimmens männer bei den olympischen sommerspielen 1984 statt los angeles
58,es,ciudad tuvo lugar final 100 metros mariposa masculina juegos olímpicos verano 1984 ángeles
58,hi,साल के समर ओलंपिक पुरुषों की मीटर बटरफ़्लाई प्रतियोगिता का फ़ाइनल किस शहर हुआ लॉस एंजिल्स 1984 100
58,id,kota manakah final nomor gaya kupu 100 meter putra olimpiade musim panas 1984 diselenggarakan los angeles
58,it,città si è svolta finale dei 100 metri farfalla maschili alle olimpiadi estive 1984 los angeles
58,ja,年 夏季 オリンピック 男子 メートル バタフライ 決勝 は どこ で 開催 さ れ まし た か ロサンゼルス 1984 100
58,ko,1984년 하계 올림픽 남자 접영 결승전은 어느 도시에서 열렸습니까? 로스앤젤레스 1984 100m
58,pt,cidade decorreu final masculina 100 metros mariposa nos jogos olímpicos verão 1984 los angeles
48,en,what name protagonist prizzi novels charlie partanna
48,fr,était nom protagoniste romans prizzi charlie partanna
48,he,איך נקרא הפרוטגוניסט ברומנים של פריצי רלי פרטנה
48,zh,普里 兹 系列小说 中 的 主角 叫 什么 名字 查理 帕坦纳 prizzi
48,de,wie hieß protagonist den prizzi romanen charlie partanna
48,es,cuál era nombre protagonista novelas prizzi charlie partanna
48,hi,प्रिज़ी उपन्यासों मुख्य किरदार का क्या नाम चार्ली पार्टाना
48,id,siapa nama protagonis dalam novel prizzi charlie partanna
48,it,qual era nome protagonista dei romanzi prizzi charlie partanna
48,ja,プリッツィ 家 小説 の 主人公 名前 は チャーリー ・ パルタナ
48,ko,프리치 소설의 주인공 이름은 무엇입니까? 찰리 파르타나
48,pt,era nome protagonista romances prizzi charlie partanna
